City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
417,Bangkalan,ID,76.95,overcast clouds,-7.0455,112.7351,SPOT ON 2591 Griya Demangan Syariah
418,Adrar,MR,87.48,overcast clouds,20.5022,-10.0711,
425,Ahuimanu,US,87.51,broken clouds,21.4447,-157.8378,Paradise Bay Resort
428,Palu,ID,76.37,moderate rain,-0.8917,119.8707,Hotel Santika Palu
429,Kattivakkam,IN,80.69,overcast clouds,13.2167,80.3167,Euronova Freezer
432,Itamaraca,BR,80.65,scattered clouds,-7.7478,-34.8256,Special K's Bed & Breakfast
438,Kahului,US,85.26,clear sky,20.8947,-156.47,Maui Seaside Hotel
439,Kolda,SN,84.51,broken clouds,12.8833,-14.95,Hôtel Hobbe Chasse
440,Majene,ID,78.64,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
442,Isangel,VU,80.71,few clouds,-19.55,169.2667,Tanna Lodge
444,Kandrian,PG,77.74,overcast clouds,-6.2167,149.55,Kandrian Station
446,Black River,JM,86.0,overcast clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
447,Pandan,PH,81.37,broken clouds,14.0453,124.1694,Bonifacio Lodge
451,Hidrolandia,BR,88.88,scattered clouds,-4.4081,-40.4378,Camping Pedra do Tatu - Fazenda Alves
458,Maumere,ID,78.33,overcast clouds,-8.6199,122.2111,Sylvia Hotel
459,Jacareacanga,BR,85.05,broken clouds,-6.2222,-57.7528,Casa do Ian😎
468,Edd,ER,88.59,overcast clouds,13.9297,41.6925,
471,Puerto Concordia,CO,78.49,broken clouds,2.6221,-72.7572,Hotel El Jardín
473,Oistins,BB,82.49,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
474,Pundaguitan,PH,83.82,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
476,Kolokani,ML,85.08,overcast clouds,13.5728,-8.0339,Lycee Famolo Coulibalibali De Kolokani
477,Hamilton,US,82.49,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
479,Searcy,US,85.24,clear sky,35.2506,-91.7363,"Holiday Inn Express & Suites Searcy, an IHG Hotel"
485,Tumaco,CO,78.44,overcast clouds,1.7986,-78.8156,Dafneruben
486,Warri,NG,75.83,overcast clouds,5.5167,5.75,BON Hotel Delta
487,Sola,VU,83.07,broken clouds,-13.8833,167.55,Leumerus Bungalows
489,Turrialba,CR,82.83,broken clouds,9.9047,-83.6835,Spanish by the River
491,Praia,CV,79.34,clear sky,14.9215,-23.5087,LT Aparthotel
493,Ukiah,US,85.12,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
494,Tessalit,ML,86.04,overcast clouds,20.1986,1.0114,
497,Bambanglipuro,ID,76.55,overcast clouds,-7.95,110.2833,Puri Brata
498,Kosum Phisai,TH,77.41,moderate rain,16.2486,103.0674,Banrao
500,Cayenne,GF,83.08,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
501,Micheweni,TZ,76.8,scattered clouds,-4.9667,39.8333,
504,Port-Gentil,GA,76.96,few clouds,-0.7193,8.7815,Fengshui Residence
506,Lake Havasu City,US,84.81,clear sky,34.4839,-114.3224,Heat Hotel
507,Sao Felix Do Xingu,BR,85.08,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
509,Jalu,LY,77.23,clear sky,29.0331,21.5482,صاحبة الفخامة
510,Iquitos,PE,87.84,scattered clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
511,Talavera,PH,76.96,overcast clouds,15.6167,120.9333,R&G's Resort
512,Mitsamiouli,KM,75.81,scattered clouds,-11.3847,43.2844,Foyer ADM
514,Akyab,MM,80.44,overcast clouds,20.15,92.9,Hotel Memory
516,Matara,LK,78.04,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
524,Labuan,MY,79.16,few clouds,5.2767,115.2417,Tiara Labuan Hotel
529,Amudat,UG,75.13,broken clouds,1.95,34.95,Silent Night Hotel
532,Awbari,LY,78.08,clear sky,26.5921,12.7805,فندق أوباري
539,Canutama,BR,86.74,scattered clouds,-6.5339,-64.3831,Hotel Jhennifer
540,Basco,PH,81.3,heavy intensity rain,20.4487,121.9702,Nathaniel's Lodge
544,Arlit,NE,86.14,few clouds,18.7369,7.3853,Case de Passage De la Prefecture
547,Alta Floresta,BR,83.48,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
548,Mount Pleasant,US,75.99,overcast clouds,32.7941,-79.8626,Best Western Patriots Point
551,Laguna,US,83.05,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
558,Sawakin,SD,85.24,scattered clouds,19.1059,37.3321,فندق الدويم
559,Grande Riviere Du Nord,HT,82.45,broken clouds,19.5833,-72.1833,La Belle Maison
560,Nouakchott,MR,80.53,clear sky,18.0858,-15.9785,HOTEL IMAN فندق إيمان
565,Kampong Thum,KH,75.06,overcast clouds,12.7111,104.8887,Sambor Village Hotel
566,Bull Savanna,JM,81.19,broken clouds,17.8868,-77.5902,Big Red's
569,Meulaboh,ID,75.94,overcast clouds,4.1363,96.1285,Kost Pria
574,Alice Town,BS,81.14,clear sky,25.7167,-79.3,Bimini Big Game Club Resort & Marina
575,Lorengau,PG,83.01,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
576,Touros,BR,81.5,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
577,Fortuna Foothills,US,87.85,clear sky,32.6578,-114.4119,Fortuna De Oro RV Park
582,Zinder,NE,89.1,overcast clouds,13.8072,8.9881,Hotel de Ville
584,Kudahuvadhoo,MV,82.94,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
587,Hobyo,SO,78.39,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
588,San Jose,US,83.88,clear sky,37.3394,-121.895,The Westin San Jose
590,Monrovia,LR,76.77,light rain,6.3005,-10.7969,Sunset Inn
591,Kousseri,CM,82.36,light rain,12.0769,15.0306,Le Pilotis
596,Vallenar,CL,75.04,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
598,Thio,NC,76.96,broken clouds,-21.6167,166.2167,La Ferme de Thio
602,Jasper,US,84.27,scattered clouds,37.2001,-94.3502,Guest House Motel
606,Koumac,NC,75.83,clear sky,-20.5667,164.2833,Le Monitel
607,Acarau,BR,79.61,clear sky,-2.8856,-40.12,castelo pizzaria
612,San Felipe,VE,76.55,broken clouds,10.3399,-68.7425,Posada Llovizna Rodríguez
613,Grand-Santi,GF,82.18,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
624,Limbang,MY,79.11,overcast clouds,4.75,115.0,Purnama Hotel
632,Coralville,US,81.9,light rain,41.6764,-91.5805,Heartland Inn
648,Paulo Ramos,BR,82.54,overcast clouds,-4.2167,-45.1833,Hotel milena
650,Dutse,NG,80.92,overcast clouds,11.7594,9.3392,Central Mosque Galamawa
652,Diffa,NE,88.63,overcast clouds,13.3154,12.6113,ProDAF/Diffa
655,Acaponeta,MX,87.22,broken clouds,22.4964,-105.3594,Hotel Casa Blanca
656,Makakilo City,US,86.32,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
664,Sakakah,SA,81.97,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
670,Sulangan,PH,83.01,overcast clouds,11.1373,123.7228,Maia's Beach Resort
678,Beaufort,MY,78.96,overcast clouds,5.3473,115.7455,The Gem Hotel Beaufort
680,Zhuhai,CN,82.06,few clouds,22.2769,113.5678,Nanyang Seascape Hotel Zhuhai Hotel
681,Kapit,MY,75.2,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
