City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
105,Khasan,RU,42.4308,130.6434,53.35,54,31,16.33,scattered clouds
106,Pimentel,PE,-6.8367,-79.9342,66.49,72,0,20.71,clear sky
107,Cockburn Town,TC,21.4612,-71.1419,84.16,65,40,11.5,scattered clouds
108,Port Moresby,PG,-9.4431,147.1797,76.42,94,75,5.75,broken clouds
109,Narsaq,GL,60.9167,-46.05,34.02,45,20,3.8,few clouds
110,Opelousas,US,30.5335,-92.0815,86.13,51,1,10.36,clear sky
111,Port Elizabeth,ZA,-33.918,25.5701,59.29,77,0,13.8,clear sky
112,Coos Bay,US,43.3665,-124.2179,60.78,78,1,11.5,clear sky
113,Nikolskoye,RU,59.7035,30.7861,50.4,70,12,8.41,light rain
114,Ola,RU,59.5833,151.2833,31.96,53,0,12.17,clear sky
115,Torbay,CA,47.6666,-52.7314,43.75,81,75,16.11,broken clouds
116,Hagi,JP,34.4,131.4167,73.85,84,38,7.63,scattered clouds
117,Chapais,CA,49.7834,-74.8492,56.98,95,100,7.92,overcast clouds
118,Awjilah,LY,29.1081,21.2869,76.87,29,0,8.03,clear sky
119,Longyearbyen,SJ,78.2186,15.6401,28.24,74,75,1.14,broken clouds
120,Denpasar,ID,-8.65,115.2167,73.06,94,20,2.3,few clouds
121,Port Lincoln,AU,-34.7333,135.8667,54.77,53,5,12.73,clear sky
122,Komsomolskiy,UZ,40.4272,71.7189,43.52,75,15,6.91,few clouds
123,Bambous Virieux,MU,-20.3428,57.7575,71.85,100,75,11.5,moderate rain
124,Petropolis,RU,59.8944,30.2642,50.65,76,0,1.01,light rain
125,Vardo,NO,70.3705,31.1107,41.2,90,100,7.34,overcast clouds
126,Aykhal,RU,66.0,111.5,17.6,93,100,16.42,overcast clouds
127,De-Kastri,RU,51.4667,140.7833,41.68,95,100,22.82,overcast clouds
128,Ellsworth,US,44.5434,-68.4195,57.67,92,90,3.44,overcast clouds
129,Lavrentiya,RU,65.5833,-171.0,30.52,78,45,2.66,scattered clouds
130,Dwarka,IN,22.2394,68.9678,81.66,77,2,6.11,clear sky
131,Roebourne,AU,-20.7833,117.1333,76.06,32,10,17.94,clear sky
132,New Norfolk,AU,-42.7826,147.0587,52.72,60,83,1.01,broken clouds
133,Lima,PE,-12.0432,-77.0282,66.9,75,90,13.8,overcast clouds
134,Filadelfia,US,39.9523,-75.1638,67.1,93,90,1.99,overcast clouds
135,Rovinj,HR,45.08,13.64,53.29,74,100,23.78,overcast clouds
136,Krasnoborsk,RU,61.5598,45.934,48.78,87,100,10.92,overcast clouds
137,Tasiilaq,GL,65.6145,-37.6368,32.16,54,3,2.95,clear sky
138,Lerwick,GB,60.1545,-1.1494,48.2,76,23,22.62,few clouds
139,Saint-Philippe,RE,-21.3585,55.7679,72.95,89,6,6.22,clear sky
140,Kichera,RU,55.9375,110.0997,36.05,96,97,4.29,moderate rain
141,Santo Antonio Do Ica,BR,-3.1022,-67.9397,75.22,96,98,0.74,overcast clouds
142,Dunedin,NZ,-45.8742,170.5036,58.8,70,100,3.0,overcast clouds
143,Mareeba,AU,-17.0,145.4333,78.31,77,16,2.53,few clouds
144,Puerto Ayora,EC,-0.7393,-90.3518,76.96,86,60,7.0,broken clouds
145,Monzon,ES,41.9108,0.1941,57.81,68,16,3.98,few clouds
146,Ucluelet,CA,48.9329,-125.5528,56.08,77,100,5.99,overcast clouds
147,Riyadh,SA,24.6877,46.7219,77.14,18,0,2.98,clear sky
148,Ballina,AU,-28.8667,153.5667,75.24,68,62,8.05,broken clouds
149,Port Hardy,CA,50.6996,-127.4199,51.98,71,75,6.91,light intensity shower rain
150,Lasa,IT,46.6166,10.7002,49.08,72,3,7.29,clear sky
151,Klaksvik,FO,62.2266,-6.589,43.72,71,99,12.12,overcast clouds
152,Campo Formoso,BR,-10.5075,-40.3214,77.2,34,54,2.64,broken clouds
153,Nam Som,TH,17.7704,102.1895,73.26,98,100,1.86,overcast clouds
154,Collingwood,CA,44.4834,-80.2164,68.25,86,100,11.41,overcast clouds
155,Leh,IN,34.1667,77.5833,39.65,46,0,4.45,clear sky
156,Saint-Augustin,CA,51.226,-58.6502,50.13,67,43,3.69,scattered clouds
157,Mazagao,BR,-0.115,-51.2894,89.65,78,45,7.45,scattered clouds
158,Damaturu,NG,11.747,11.9608,85.41,27,100,7.29,overcast clouds
159,San Quintin,MX,30.4833,-115.95,72.05,59,0,13.02,clear sky
160,Baykit,RU,61.67,96.37,20.95,84,53,5.97,broken clouds
161,Fort Nelson,CA,58.8053,-122.7002,44.19,61,75,8.05,light rain
162,Moryakovskiy Zaton,RU,56.6956,84.6467,31.08,76,100,5.39,overcast clouds
163,Cap Malheureux,MU,-19.9842,57.6142,72.46,91,98,7.0,moderate rain
164,Lata,PT,40.1629,-8.3327,65.07,55,14,4.83,few clouds
