City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
141,Swan Hill,AU,-35.3378,143.5544,48.56,60,0,12.44,clear sky
142,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,78.57,88,74,0.38,broken clouds
143,Havre-Saint-Pierre,CA,50.2334,-63.5986,49.19,89,93,12.33,overcast clouds
144,Ilulissat,GL,69.2167,-51.1,32.02,86,20,1.14,few clouds
145,Grenaa,DK,56.4158,10.8783,52.02,95,92,13.18,overcast clouds
146,Saint-Georges,GD,12.0564,-61.7485,83.88,84,20,11.5,few clouds
147,Fortuna,US,40.5982,-124.1573,69.19,67,79,10.0,broken clouds
148,Udachnyy,RU,66.4167,112.4,22.05,92,100,18.68,overcast clouds
149,Ancud,CL,-41.8697,-73.8203,53.42,81,100,7.94,overcast clouds
150,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,75.31,75,27,5.41,scattered clouds
151,Erenhot,CN,43.6475,111.9767,40.8,34,0,8.08,clear sky
152,Araouane,ML,18.9048,-3.5265,89.98,9,100,8.23,overcast clouds
153,Klaksvik,FO,62.2266,-6.589,41.92,70,100,14.27,overcast clouds
154,Hermon,US,44.8101,-68.9134,59.38,87,75,9.22,broken clouds
155,Boa Vista,BR,2.8197,-60.6733,84.18,74,75,8.05,broken clouds
156,Santa Cruz De Tenerife,ES,28.4682,-16.2546,73.62,88,40,4.0,scattered clouds
157,Marawi,PH,7.9986,124.2928,68.65,93,95,7.9,overcast clouds
158,Dicabisagan,PH,17.0818,122.4157,76.21,93,100,8.84,moderate rain
159,Chimoio,MZ,-19.1164,33.4833,60.6,89,100,10.94,light rain
160,Ucluelet,CA,48.9329,-125.5528,57.04,76,100,5.01,overcast clouds
161,San Quintin,MX,30.4833,-115.95,72.88,55,0,12.44,clear sky
162,Vila Do Maio,CV,15.1333,-23.2167,79.59,78,0,14.27,clear sky
163,Vanimo,PG,-2.6741,141.3028,79.05,90,100,3.44,overcast clouds
164,Taoudenni,ML,22.6783,-3.9836,92.3,9,69,5.84,broken clouds
165,Muros,ES,42.7762,-9.0603,63.09,64,0,12.01,clear sky
166,Mariani,IN,26.6667,94.3333,74.68,96,1,2.33,clear sky
167,Harper,LR,4.375,-7.7169,78.06,88,98,10.2,light rain
168,Faya,SA,18.3851,42.4509,63.12,29,32,10.18,scattered clouds
169,Grand Gaube,MU,-20.0064,57.6608,72.0,91,99,5.01,light rain
170,Gambela,ET,8.25,34.5833,72.01,91,100,3.56,overcast clouds
171,Corralillo,CU,22.9819,-80.5856,81.73,70,22,11.01,heavy intensity rain
172,Noumea,NC,-22.2763,166.4572,76.98,99,0,4.99,clear sky
173,Dikson,RU,73.5069,80.5464,29.71,67,100,21.99,light snow
174,Gobabis,NA,-22.45,18.9667,63.91,12,0,10.38,clear sky
175,San Lawrenz,MT,36.0553,14.204,66.85,57,1,3.0,clear sky
176,Sumbe,AO,-11.2061,13.8437,73.71,84,92,3.8,overcast clouds
177,Bethel,US,41.3712,-73.414,63.55,89,90,3.0,overcast clouds
178,Katsuura,JP,35.1333,140.3,74.19,73,72,13.87,broken clouds
179,Baykit,RU,61.67,96.37,21.81,83,60,5.48,broken clouds
180,Ponta Do Sol,PT,32.6667,-17.1,73.0,70,17,5.14,few clouds
181,Dehloran,IR,32.6941,47.2679,82.0,10,0,5.39,clear sky
182,Palmer,US,42.1584,-72.3287,63.0,72,90,1.01,overcast clouds
183,Abha,SA,18.2164,42.5053,62.85,25,0,8.05,clear sky
184,Nanortalik,GL,60.1432,-45.2371,36.72,59,4,4.05,clear sky
185,Leshukonskoye,RU,64.8989,45.7622,47.82,97,100,8.72,light rain
186,The Pas,CA,53.8251,-101.2541,62.62,48,1,10.36,clear sky
187,Vao,NC,-22.6667,167.4833,70.07,63,6,12.75,clear sky
188,Te Anau,NZ,-45.4167,167.7167,39.16,99,100,2.8,light rain
189,Chabahar,IR,25.2919,60.643,82.53,61,0,5.03,clear sky
190,Ust-Ilimsk,RU,58.0006,102.6619,34.45,96,100,7.92,overcast clouds
191,Byron Bay,AU,-28.65,153.6167,76.05,64,47,11.45,scattered clouds
192,Bon Accord,CA,53.8335,-113.4187,46.17,61,90,10.36,overcast clouds
193,Westport,US,41.1415,-73.3579,65.8,89,90,1.01,overcast clouds
194,Uryupinsk,RU,50.8047,42.0138,42.89,57,1,4.25,clear sky
195,Tura,IN,25.5198,90.2201,73.2,87,4,3.65,clear sky
196,Cardiff,GB,51.48,-3.18,54.9,87,29,9.22,scattered clouds
197,Chulman,RU,56.8479,124.9104,24.71,86,56,4.83,broken clouds
198,Tsumeb,NA,-19.2333,17.7167,58.55,9,0,13.13,clear sky
199,Half Moon Bay,US,37.4636,-122.4286,84.24,49,1,1.01,clear sky
200,Sao Filipe,CV,14.8961,-24.4956,81.01,71,0,2.57,clear sky
201,Rincon,US,32.296,-81.2354,82.85,74,40,9.22,scattered clouds
202,Hovd,MN,48.0056,91.6419,33.6,35,34,1.99,scattered clouds
203,Biak,ID,-0.9131,122.8766,76.69,85,100,6.35,overcast clouds
204,Asau,RO,46.4333,26.4,40.75,47,35,2.24,light snow
205,Aklavik,CA,68.2191,-135.0107,31.03,77,100,8.41,overcast clouds
206,Los Reyes,MX,19.35,-98.9667,79.07,36,40,13.8,scattered clouds
207,Bengkulu,ID,-3.8004,102.2655,75.04,91,90,4.54,overcast clouds
208,Bereda,ES,43.2686,-7.5406,57.92,100,12,5.84,few clouds
209,Acapulco,MX,16.8634,-99.8901,87.62,66,40,4.61,scattered clouds
210,Masterton,NZ,-40.9597,175.6575,57.96,62,64,8.79,broken clouds
211,Vostok,RU,46.4856,135.8833,36.88,86,100,14.36,overcast clouds
212,Kutum,SD,14.2,24.6667,84.13,19,84,13.6,broken clouds
213,Lazarev,RU,52.225,141.5131,44.53,85,99,32.28,light rain
214,Champaign,US,40.1334,-88.2001,86.07,41,1,8.01,clear sky
215,Saint Anthony,US,45.0205,-93.218,67.95,64,90,8.01,overcast clouds
216,Churapcha,RU,62.0025,132.4325,31.96,98,100,9.28,snow
217,Mount Gambier,AU,-37.8333,140.7667,50.47,55,98,6.33,overcast clouds
218,Carballo,ES,43.213,-8.691,62.01,80,1,4.88,clear sky
219,Havoysund,NO,70.9963,24.6622,43.68,85,100,9.64,light rain
220,Griffith,US,41.5284,-87.4237,84.4,60,40,1.01,scattered clouds
221,Sembe,CG,1.6481,14.5806,69.73,99,98,3.0,overcast clouds
222,Yulara,AU,-25.2406,130.9889,55.24,71,90,11.5,overcast clouds
223,Flinders,AU,-34.5833,150.8552,53.2,79,100,4.0,overcast clouds
224,Pangai,TO,-19.8,-174.35,75.31,83,90,0.0,overcast clouds
225,Quelimane,MZ,-17.8786,36.8883,76.95,78,40,8.05,light rain
226,Faanui,PF,-16.4833,-151.75,79.47,75,38,12.88,scattered clouds
227,Hasaki,JP,35.7333,140.8333,68.4,71,49,13.65,scattered clouds
228,Narsaq,GL,60.9167,-46.05,34.02,48,23,1.77,few clouds
229,Egvekinot,RU,66.3167,-179.1667,20.01,85,97,7.7,overcast clouds
230,Codajas,BR,-3.8367,-62.0569,84.56,59,71,2.44,broken clouds
231,Aquiraz,BR,-3.9014,-38.3911,84.22,61,12,12.95,few clouds
232,Khani,GE,41.9563,42.9566,49.57,75,2,4.59,clear sky
233,Sungai Udang,MY,2.269,102.1427,78.67,83,20,0.0,few clouds
234,Berlevag,NO,70.8578,29.0864,43.95,90,100,8.79,overcast clouds
235,Chake Chake,TZ,-5.2459,39.7666,75.09,85,42,8.66,scattered clouds
236,Padang,ID,-0.9492,100.3543,75.31,93,100,2.39,moderate rain
237,Diu,IN,20.7141,70.9822,79.95,82,52,3.31,broken clouds
238,Dabakala,CI,8.3667,-4.4333,74.32,95,88,4.56,light rain
239,Shunyi,CN,40.125,116.6453,46.29,87,0,4.47,light rain
240,Topeka,US,39.0483,-95.678,74.25,54,75,9.22,broken clouds
241,Bathsheba,BB,13.2167,-59.5167,83.01,78,40,17.27,light rain
242,Marshall,US,34.3834,-86.3333,83.3,65,1,3.44,clear sky
243,Sitka,US,57.0531,-135.33,49.89,66,40,5.75,scattered clouds
244,El Dorado,US,38.7666,-120.5177,75.79,35,0,1.99,clear sky
245,Aksu,CN,41.1231,80.2644,49.89,30,100,2.66,overcast clouds
246,Kaeo,NZ,-35.1,173.7833,65.32,64,31,6.76,scattered clouds
247,Dodge City,US,37.7528,-100.0171,55.26,95,90,3.0,moderate rain
248,Luba,GQ,3.4568,8.5547,78.01,84,100,1.01,overcast clouds
249,Cockburn Town,TC,21.4612,-71.1419,84.16,65,40,11.5,scattered clouds
250,Darabani,RO,48.1833,26.5833,46.8,40,0,1.92,clear sky
251,Chaman,PK,30.9236,66.4512,52.47,22,0,5.39,clear sky
252,Kungurtug,RU,50.5994,97.5228,25.68,71,7,3.58,clear sky
253,Haines Junction,CA,60.7522,-137.5108,39.43,57,23,1.97,few clouds
254,Thompson,CA,55.7435,-97.8558,53.76,66,40,3.44,scattered clouds
255,Kommunisticheskiy,RU,61.6789,64.4819,27.68,62,9,4.54,clear sky
256,Abnub,EG,27.2696,31.1511,82.98,23,26,3.78,scattered clouds
257,Saint-Pierre,RE,-21.3393,55.4781,71.24,73,0,8.05,clear sky
258,Nizhniy Tsasuchey,RU,50.5167,115.1333,36.18,61,0,4.05,clear sky
259,Kamenka,RU,51.3223,42.7678,42.44,61,0,4.76,clear sky
260,Husavik,IS,66.0449,-17.3389,37.31,97,100,1.63,overcast clouds
261,Kenai,US,60.5544,-151.2583,49.08,69,1,13.8,clear sky
262,Saint-Leu,RE,-21.15,55.2833,70.63,75,0,2.91,clear sky
263,Blackfoot,US,43.1905,-112.345,57.34,33,59,15.35,broken clouds
264,Mubende,UG,0.5606,31.39,62.65,95,100,1.23,overcast clouds
265,Sioux Lookout,CA,50.1001,-91.917,61.18,94,90,6.91,overcast clouds
266,Galeana,MX,24.8333,-100.0667,87.31,32,0,3.47,clear sky
267,Shenkursk,RU,62.1091,42.896,49.19,87,99,9.91,overcast clouds
268,Matay,EG,28.419,30.7792,75.58,48,1,13.15,clear sky
