City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
137,Antofagasta,CL,10/9/2021 15:55,-23.65,-70.4,60.08,66,8,10.04
138,Balod,IN,10/9/2021 15:55,20.73,81.2047,78.85,63,79,2.93
139,Talnakh,RU,10/9/2021 15:55,69.4865,88.3972,13.95,90,86,14.76
140,Sitka,US,10/9/2021 15:54,57.0531,-135.33,44.94,85,99,12.24
141,Chokurdakh,RU,10/9/2021 15:55,70.6333,147.9167,0.68,100,98,4.59
142,Baguinge,PH,10/9/2021 15:55,16.7777,121.1062,70.86,95,43,2.28
143,Kruisfontein,ZA,10/9/2021 15:55,-34.0033,24.7314,63.88,63,8,15.41
144,Ngunguru,NZ,10/9/2021 15:55,-35.6167,174.5,53.17,88,12,10.56
145,Doha,QA,10/9/2021 15:54,25.2867,51.5333,94.98,31,0,12.66
146,Laurel,US,10/9/2021 15:55,39.0993,-76.8483,71.89,84,90,3
147,Kuremaa,EE,10/9/2021 15:55,58.7353,26.5383,47.88,72,99,5.73
148,Jumla,NP,10/9/2021 15:55,29.2747,82.1838,57.24,85,50,1.21
150,Kincardine,GB,10/9/2021 15:55,56.0667,-3.7167,61.84,97,100,6.62
151,Sao Filipe,CV,10/9/2021 15:52,14.8961,-24.4956,81.3,75,18,6.64
152,Fortuna,US,10/9/2021 15:55,40.5982,-124.1573,49.35,1,20,2.84
153,Chipata,ZM,10/9/2021 15:55,-13.6333,32.65,83.75,19,4,5.21
154,Salalah,OM,10/9/2021 15:55,17.0151,54.0924,80.4,81,17,4.03
155,Cardston,CA,10/9/2021 15:55,49.2,-113.3019,48.81,31,5,9.22
156,Greenville,US,10/9/2021 15:55,35.6127,-77.3663,73.89,93,90,8.05
157,San Quintin,MX,10/9/2021 15:55,30.4833,-115.95,67.86,69,5,17.02
158,Ribeira Grande,PT,10/9/2021 15:55,38.5167,-28.7,73.8,73,40,18.41
159,Bonthe,SL,10/9/2021 15:55,7.5264,-12.505,83.28,72,93,12.82
160,Verkhnevilyuysk,RU,10/9/2021 15:55,63.4453,120.3167,35.47,83,100,12.12
161,Tulum,MX,10/9/2021 15:55,20.2167,-87.4667,85.98,62,66,3.33
162,Cockburn Town,TC,10/9/2021 15:55,21.4612,-71.1419,82.98,73,92,13.09
163,Rocha,UY,10/9/2021 15:55,-34.4833,-54.3333,65.66,55,32,11.68
164,Kandrian,PG,10/9/2021 15:52,-6.2167,149.55,77.23,89,100,2.51
165,Goya,AR,10/9/2021 15:50,-29.14,-59.2626,81.1,42,44,10.22
166,Saldanha,ZA,10/9/2021 15:55,-33.0117,17.9442,61.86,74,0,17.29
167,Oyama,JP,10/9/2021 15:55,36.3,139.8,70.03,85,100,6.82
168,Nabire,ID,10/9/2021 15:55,-3.3667,135.4833,77.63,91,91,2.04
169,Tautira,PF,10/9/2021 15:55,-17.7333,-149.15,73.42,72,35,3
170,Sanary-Sur-Mer,FR,10/9/2021 15:55,43.1178,5.8001,71.56,66,41,3
171,Hithadhoo,MV,10/9/2021 15:55,-0.6,73.0833,83.53,67,100,7.47
172,Siderno,IT,10/9/2021 15:55,38.2779,16.302,71.78,74,77,2.33
173,Kamenz,DE,10/9/2021 15:55,51.268,14.0937,56.07,47,3,10.71
174,Sayyan,YE,10/9/2021 15:55,15.1718,44.3244,68.72,37,89,17.72
175,Cap Malheureux,MU,10/9/2021 15:55,-19.9842,57.6142,73.89,74,12,7
176,Korla,CN,10/9/2021 15:55,41.7597,86.1469,47.57,38,1,4.23
177,Namibe,AO,10/9/2021 15:55,-15.1961,12.1522,72.23,68,40,13.8
178,Hilo,US,10/9/2021 15:55,19.7297,-155.09,74.28,94,90,4.61
179,Mahebourg,MU,10/9/2021 15:55,-20.4081,57.7,73.69,73,40,14.97
180,Igarka,RU,10/9/2021 15:55,67.4667,86.5833,21.65,80,100,22.77
181,Yulara,AU,10/9/2021 15:55,-25.2406,130.9889,73.24,43,90,12.66
182,Avera,US,10/9/2021 15:54,33.194,-82.5271,74.44,78,43,12.26
183,Santa Isabel Do Rio Negro,BR,10/9/2021 15:55,-0.4139,-65.0192,94.55,46,81,1.79
184,Santo Antonio Do Ica,BR,10/9/2021 15:55,-3.1022,-67.9397,89.6,53,99,2.75
185,Saint Anthony,US,10/9/2021 15:51,45.0205,-93.218,73.72,80,1,3
