City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
94,Bengkulu,ID,2021-10-07 22:41:09,-3.8004,102.2655,74.19,91,72,3.36
95,Portland,US,2021-10-07 22:41:02,45.5234,-122.6762,64.53,60,20,1.99
96,Cap-Aux-Meules,CA,2021-10-07 22:41:13,47.3821,-61.8597,55.45,94,75,6.91
97,East London,ZA,2021-10-07 22:31:28,-33.0153,27.9116,66.49,94,100,1.03
98,Chokurdakh,RU,2021-10-07 22:41:16,70.6333,147.9167,13.66,85,99,6.64
99,Beringovskiy,RU,2021-10-07 22:41:16,63.05,179.3167,32.59,94,100,7.87
100,Orange Walk,BZ,2021-10-07 22:41:17,17.8333,-88.8333,84.06,95,93,3.36
101,Przhevalskoye,RU,2021-10-07 22:41:19,55.5093,31.8482,35.69,76,2,4.25
102,Pizarro,CO,2021-10-07 22:41:21,4.9533,-77.366,76.93,90,100,4.85
103,Turayf,SA,2021-10-07 22:41:21,31.6725,38.6637,68.25,37,0,8.05
104,Vao,NC,2021-10-07 22:41:22,-22.6667,167.4833,68.99,63,56,12.12
105,Mitsamiouli,KM,2021-10-07 22:41:24,-11.3847,43.2844,75.76,81,6,7.54
106,Suoyarvi,RU,2021-10-07 22:41:26,62.0833,32.35,48.16,84,100,10.33
107,Ucar,AZ,2021-10-07 22:41:27,40.519,47.6542,53.78,72,100,1.39
108,Antalaha,MG,2021-10-07 22:41:29,-14.9003,50.2788,70.56,81,65,4.27
109,Ostrovnoy,RU,2021-10-07 22:41:30,68.0531,39.5131,40.48,89,100,20.69
110,Tabou,CI,2021-10-07 22:41:32,4.423,-7.3528,77.63,86,97,7.16
111,Pacific Grove,US,2021-10-07 22:41:33,36.6177,-121.9166,72.81,72,20,5.01
112,Kuala Terengganu,MY,2021-10-07 22:41:35,5.3302,103.1408,75.15,100,20,3.44
113,Jennings,US,2021-10-07 22:41:39,38.7192,-90.2604,75.22,72,75,1.99
114,Soyo,AO,2021-10-07 22:41:41,-6.1349,12.3689,76.03,84,66,7.94
